iter	Logloss
0	0.6869247437
1	0.6825011253
2	0.6780489922
3	0.673184967
4	0.6687348366
5	0.663237524
6	0.6585704803
7	0.653232336
8	0.6485566139
9	0.6437988281
10	0.6401554108
11	0.6358224869
12	0.6315003395
13	0.6276207447
14	0.6236811638
15	0.6199690819
16	0.6151320457
17	0.6111969471
18	0.6059904099
19	0.6025632381
20	0.5983953476
21	0.5944629669
22	0.5898247719
23	0.584569788
24	0.5792647839
25	0.5753714561
26	0.5712402344
27	0.5676530361
28	0.5637011528
29	0.5595049858
30	0.5564867973
31	0.5527613163
32	0.5479171753
33	0.5450831413
34	0.5413726807
35	0.5369935989
36	0.5339141846
37	0.5300291061
38	0.5257630825
39	0.5224248886
40	0.5182915211
41	0.514842701
42	0.5104665279
43	0.5074110031
44	0.504365921
45	0.5013511658
46	0.4984503746
47	0.4950348377
48	0.4919939041
49	0.4879838943
50	0.4841619492
51	0.4807144165
52	0.4774502754
53	0.474625206
54	0.4721082687
55	0.4688536167
56	0.4659338951
57	0.4614692688
58	0.4586751461
59	0.4550627232
60	0.4523126125
61	0.4496546745
62	0.4465112686
63	0.4439369202
64	0.4412762642
65	0.4382713318
66	0.4350046158
67	0.4319984436
68	0.4292662621
69	0.4265303135
70	0.4240367889
71	0.4213162899
72	0.4187484741
73	0.4162408829
74	0.4134926319
75	0.4109297752
76	0.4080173492
77	0.4052068233
78	0.4028950691
79	0.400409317
80	0.3971551895
81	0.3952079535
82	0.392526865
83	0.3898359299
84	0.3872337818
85	0.3848944902
86	0.3823666573
87	0.3799723148
88	0.3775681496
89	0.375117445
90	0.3730401039
91	0.3708789587
92	0.3683324814
93	0.3659511566
94	0.3630279064
95	0.3610816479
96	0.3589181423
97	0.356570673
98	0.3544608116
99	0.3518447161
100	0.3493373394
101	0.3470452785
102	0.3446717739
103	0.3421956301
104	0.3399843693
105	0.3381351233
106	0.3358807087
107	0.3336449385
108	0.3314906597
109	0.3297149181
110	0.327856946
111	0.3258225441
112	0.3237865925
113	0.3215328217
114	0.3191558838
115	0.3169883013
116	0.3149209023
117	0.312751627
118	0.3110143185
119	0.3086271286
120	0.306890583
121	0.3048043728
122	0.3030596018
